"id","date","symbol","open","high","low","close","volume","amount","adj_close"
685,2004-11-02,NEPSE,232.52,232.52,232.52,232.52,0.00000,0.00000,
684,2004-11-01,NEPSE,233.54,233.54,233.54,233.54,0.00000,0.00000,
683,2004-10-28,NEPSE,232.13,232.13,232.13,232.13,0.00000,0.00000,
682,2004-10-27,NEPSE,232.06,232.06,232.06,232.06,0.00000,0.00000,
681,2004-10-26,NEPSE,232.0,232.0,232.0,232.0,0.00000,0.00000,
680,2004-10-19,NEPSE,232.36,232.36,232.36,232.36,0.00000,0.00000,
679,2004-10-14,NEPSE,232.29,232.29,232.29,232.29,0.00000,0.00000,
678,2004-10-13,NEPSE,232.29,232.29,232.29,232.29,0.00000,0.00000,
677,2004-10-12,NEPSE,232.37,232.37,232.37,232.37,0.00000,0.00000,
676,2004-10-11,NEPSE,233.73,233.73,233.73,233.73,0.00000,0.00000,
675,2004-10-08,NEPSE,233.81,233.81,233.81,233.81,0.00000,0.00000,
674,2004-10-07,NEPSE,233.92,233.92,233.92,233.92,0.00000,0.00000,
673,2004-10-05,NEPSE,234.0,234.0,234.0,234.0,0.00000,0.00000,
672,2004-10-04,NEPSE,234.09,234.09,234.09,234.09,0.00000,0.00000,
671,2004-10-01,NEPSE,233.99,233.99,233.99,233.99,0.00000,0.00000,
670,2004-09-30,NEPSE,234.11,234.11,234.11,234.11,0.00000,0.00000,
669,2004-09-29,NEPSE,233.64,233.64,233.64,233.64,0.00000,0.00000,
668,2004-09-28,NEPSE,233.05,233.05,233.05,233.05,0.00000,0.00000,
667,2004-09-24,NEPSE,234.12,234.12,234.12,234.12,0.00000,0.00000,
666,2004-09-23,NEPSE,234.12,234.12,234.12,234.12,0.00000,0.00000,
665,2004-09-22,NEPSE,234.12,234.12,234.12,234.12,0.00000,0.00000,
664,2004-09-21,NEPSE,235.45,235.45,235.45,235.45,0.00000,0.00000,
663,2004-09-20,NEPSE,236.83,236.83,236.83,236.83,0.00000,0.00000,
662,2004-09-17,NEPSE,237.22,237.22,237.22,237.22,0.00000,0.00000,
661,2004-09-16,NEPSE,234.58,234.58,234.58,234.58,0.00000,0.00000,
660,2004-09-15,NEPSE,230.72,230.72,230.72,230.72,0.00000,0.00000,
659,2004-09-14,NEPSE,229.99,229.99,229.99,229.99,0.00000,0.00000,
658,2004-09-13,NEPSE,230.9,230.9,230.9,230.9,0.00000,0.00000,
657,2004-09-10,NEPSE,231.29,231.29,231.29,231.29,0.00000,0.00000,
656,2004-09-09,NEPSE,231.78,231.78,231.78,231.78,0.00000,0.00000,
655,2004-09-08,NEPSE,234.07,234.07,234.07,234.07,0.00000,0.00000,
654,2004-09-07,NEPSE,235.61,235.61,235.61,235.61,0.00000,0.00000,
653,2004-08-31,NEPSE,237.43,237.43,237.43,237.43,0.00000,0.00000,
652,2004-08-27,NEPSE,237.81,237.81,237.81,237.81,0.00000,0.00000,
651,2004-08-25,NEPSE,235.81,235.81,235.81,235.81,0.00000,0.00000,
650,2004-08-24,NEPSE,234.02,234.02,234.02,234.02,0.00000,0.00000,
649,2004-08-23,NEPSE,236.27,236.27,236.27,236.27,0.00000,0.00000,
648,2004-08-20,NEPSE,237.43,237.43,237.43,237.43,0.00000,0.00000,
647,2004-08-11,NEPSE,235.7,235.7,235.7,235.7,0.00000,0.00000,
646,2004-08-10,NEPSE,233.46,233.46,233.46,233.46,0.00000,0.00000,
645,2004-08-09,NEPSE,232.53,232.53,232.53,232.53,0.00000,0.00000,
644,2004-08-06,NEPSE,232.39,232.39,232.39,232.39,0.00000,0.00000,
643,2004-08-05,NEPSE,231.13,231.13,231.13,231.13,0.00000,0.00000,
642,2004-08-04,NEPSE,230.2,230.2,230.2,230.2,0.00000,0.00000,
641,2004-08-03,NEPSE,228.77,228.77,228.77,228.77,0.00000,0.00000,
640,2004-08-02,NEPSE,227.3,227.3,227.3,227.3,0.00000,0.00000,
639,2004-07-30,NEPSE,226.72,226.72,226.72,226.72,0.00000,0.00000,
638,2004-07-29,NEPSE,225.52,225.52,225.52,225.52,0.00000,0.00000,
637,2004-07-28,NEPSE,224.91,224.91,224.91,224.91,0.00000,0.00000,
636,2004-07-27,NEPSE,224.63,224.63,224.63,224.63,0.00000,0.00000,
635,2004-07-23,NEPSE,224.09,224.09,224.09,224.09,0.00000,0.00000,
634,2004-07-22,NEPSE,223.42,223.42,223.42,223.42,0.00000,0.00000,
633,2004-07-21,NEPSE,224.42,224.42,224.42,224.42,0.00000,0.00000,
632,2004-07-20,NEPSE,224.41,224.41,224.41,224.41,0.00000,0.00000,
631,2004-07-19,NEPSE,223.45,223.45,223.45,223.45,0.00000,0.00000,
630,2004-07-16,NEPSE,222.65,222.65,222.65,222.65,0.00000,0.00000,
629,2004-07-15,NEPSE,222.04,222.04,222.04,222.04,0.00000,0.00000,
628,2004-07-08,NEPSE,226.88,226.88,226.88,226.88,0.00000,0.00000,
627,2004-07-06,NEPSE,227.83,227.83,227.83,227.83,0.00000,0.00000,
626,2004-07-05,NEPSE,225.15,225.15,225.15,225.15,0.00000,0.00000,
625,2004-07-02,NEPSE,220.75,220.75,220.75,220.75,0.00000,0.00000,
624,2004-07-01,NEPSE,219.41,219.41,219.41,219.41,0.00000,0.00000,
623,2004-06-30,NEPSE,218.65,218.65,218.65,218.65,0.00000,0.00000,
622,2004-06-29,NEPSE,217.72,217.72,217.72,217.72,0.00000,0.00000,
621,2004-06-28,NEPSE,217.41,217.41,217.41,217.41,0.00000,0.00000,
620,2004-06-25,NEPSE,217.46,217.46,217.46,217.46,0.00000,0.00000,
619,2004-06-24,NEPSE,216.51,216.51,216.51,216.51,0.00000,0.00000,
618,2004-06-22,NEPSE,213.25,213.25,213.25,213.25,0.00000,0.00000,
617,2004-06-21,NEPSE,211.51,211.51,211.51,211.51,0.00000,0.00000,
616,2004-06-16,NEPSE,211.45,211.45,211.45,211.45,0.00000,0.00000,
615,2004-06-15,NEPSE,211.31,211.31,211.31,211.31,0.00000,0.00000,
614,2004-06-14,NEPSE,213.12,213.12,213.12,213.12,0.00000,0.00000,
613,2004-06-11,NEPSE,216.42,216.42,216.42,216.42,0.00000,0.00000,
612,2004-06-10,NEPSE,216.75,216.75,216.75,216.75,0.00000,0.00000,
611,2004-06-09,NEPSE,214.27,214.27,214.27,214.27,0.00000,0.00000,
610,2004-06-08,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
609,2004-06-07,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
608,2004-06-04,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
607,2004-06-03,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
606,2004-06-02,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
605,2004-06-01,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
604,2004-05-31,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
603,2004-05-28,NEPSE,207.04,207.04,207.04,207.04,0.00000,0.00000,
602,2004-05-27,NEPSE,206.9,206.9,206.9,206.9,0.00000,0.00000,
601,2004-05-26,NEPSE,206.25,206.25,206.25,206.25,0.00000,0.00000,
600,2004-05-25,NEPSE,206.12,206.12,206.12,206.12,0.00000,0.00000,
599,2004-05-24,NEPSE,205.58,205.58,205.58,205.58,0.00000,0.00000,
598,2004-05-21,NEPSE,205.13,205.13,205.13,205.13,0.00000,0.00000,
597,2004-05-20,NEPSE,205.29,205.29,205.29,205.29,0.00000,0.00000,
596,2004-05-19,NEPSE,205.02,205.02,205.02,205.02,0.00000,0.00000,
595,2004-05-18,NEPSE,205.1,205.1,205.1,205.1,0.00000,0.00000,
594,2004-05-17,NEPSE,204.8,204.8,204.8,204.8,0.00000,0.00000,
593,2004-05-14,NEPSE,204.41,204.41,204.41,204.41,0.00000,0.00000,
592,2004-05-13,NEPSE,204.35,204.35,204.35,204.35,0.00000,0.00000,
591,2004-05-11,NEPSE,201.54,201.54,201.54,201.54,0.00000,0.00000,
590,2004-05-10,NEPSE,201.49,201.49,201.49,201.49,0.00000,0.00000,
589,2004-05-07,NEPSE,201.27,201.27,201.27,201.27,0.00000,0.00000,
588,2004-05-06,NEPSE,201.12,201.12,201.12,201.12,0.00000,0.00000,
587,2004-05-05,NEPSE,201.0,201.0,201.0,201.0,0.00000,0.00000,
586,2004-05-03,NEPSE,205.07,205.07,205.07,205.07,0.00000,0.00000,
585,2004-04-30,NEPSE,205.22,205.22,205.22,205.22,0.00000,0.00000,
584,2004-04-29,NEPSE,205.26,205.26,205.26,205.26,0.00000,0.00000,
583,2004-04-28,NEPSE,204.55,204.55,204.55,204.55,0.00000,0.00000,
582,2004-04-27,NEPSE,204.6,204.6,204.6,204.6,0.00000,0.00000,
581,2004-04-26,NEPSE,204.38,204.38,204.38,204.38,0.00000,0.00000,
580,2004-04-23,NEPSE,204.06,204.06,204.06,204.06,0.00000,0.00000,
579,2004-04-22,NEPSE,203.76,203.76,203.76,203.76,0.00000,0.00000,
578,2004-04-21,NEPSE,203.16,203.16,203.16,203.16,0.00000,0.00000,
